Time (min),Requests
0,4033
1,1980
2,943
3,200
4,698
5,1565
6,127
7,395
8,1398
9,2169
10,1557
11,1262
12,4470
13,1110
14,1660
15,2358
16,3356
17,2550
18,603
19,1772
20,1244
21,3796
22,348980
23,344208
24,279
25,2258
26,3416
27,2611
28,959
29,1291
30,809
31,1026
32,2786
33,1777
34,1031
35,1651
36,18209
37,779
38,927
39,2842
40,214562
41,212929
42,1592
43,1951
44,12025
45,1748
46,465522
47,465155
48,1461
49,8747
50,972144
51,2634438
52,1680988
53,17987
54,2791
55,1985286
56,1986185
57,12671
58,935532
59,935372
60,28356
61,1381529
62,1383745
63,12535
64,2565
65,17847
66,324
67,4865
68,9247
69,1027
70,15377
71,11804
72,815438
73,837217
74,4855
75,27323
76,16917
77,1940089
78,1941120
79,3525
80,37334
81,1153640
82,1170877
83,17898
84,48151
85,1245589
86,1248501
87,2471
88,3306
89,1533
90,3614
91,1424
92,16436
93,16976
94,24508
95,15160
96,35007
97,2813
98,15272
99,5943
100,53376
101,19563
102,2022
103,27349
104,19448
105,2926
106,15482
107,2247
108,18677
109,3496
110,3531
111,3063
112,25479
113,2111
114,2908
115,12714
116,3656
117,22866
118,5792
119,31474
120,17015
121,1671
122,13049
123,18122
124,11752
125,36490
126,53866
127,16266
128,66841
129,12620
130,31192
131,22718
132,35972
133,66752
134,11095
135,25092
136,23498
137,22696
138,6577
139,2496
140,19934
141,16833
142,4382
143,4856
144,5887
145,3263
146,4934
147,6353
148,14146
149,4228
150,28287
151,4044
152,4735
153,11464
154,7501
155,3644
156,8139
157,8175
158,4953
159,29984
160,2988
161,1941
162,8452
163,3824
164,23325
165,30317
166,3297
167,2781
168,7814
169,24682
170,5042
171,9657
172,4416
173,5761
174,6697
175,24490
176,9810
177,8831
178,5567
179,4705
180,6729
181,5010
182,5972
183,8344
184,5325
185,6665
186,7066
187,4359
188,6723
189,7253
190,2711
191,5196
192,7302
193,4067
194,5201
195,10119
196,1750
197,6914
198,16692
199,5777
200,9327
201,7529
202,3470
203,8089
204,10369
205,4141
206,6649
207,4934
208,4467
209,10086
210,6339
211,5479
212,8065
213,12498
214,3464
215,9659
216,10700
217,4901
218,7165
219,12092
220,6218
221,8105
222,9214
223,6051
224,8353
225,8930
226,5494
227,9518
228,6328
229,4907
230,10890
231,5162
232,6631
233,10950
234,6622
235,4948
236,10887
237,74358
238,3519
239,11008
240,6404
241,6455
242,11031
243,4738
244,5260
245,10974
246,4677
247,5216
248,599353
249,6941
250,6658
251,9417
252,6438
253,6772
254,8409
255,24331
256,15058
257,6943
258,6297
259,7684
260,7511
261,31841
262,10972
263,6646
264,6219
265,5185
266,13048
267,2496208
268,5505
269,6501
270,8593
271,5423
272,2463277
273,6800
274,4652
275,4611
276,596059
277,22917
278,3668
279,7815
280,15857
281,6278
282,7797
283,6544
284,21236
285,5987
286,6825
287,3774
288,6184
289,4699
290,4300
291,3249
292,3957
293,9716
294,26727
295,5905
296,7419
297,3124
298,4540
299,5597
300,2521
301,49444
302,27523
303,161040
304,8505
305,19975
306,44092
307,71668
308,5066
309,4943
310,19449
311,2630
312,27813
313,79095
314,758
315,34136
316,2458
317,3902
318,22240
319,2897
320,2604
321,286157
322,3495
323,4869
324,218301
325,3753
326,3090
327,3331
328,27630
329,5001
330,2916
331,1234
332,4999
333,4294
334,4312
335,6259
336,4847
337,5322
338,3186
339,2575103
340,5426
341,282980
342,3119
343,21422
344,251318
345,390884
346,302858
347,2206
348,5929
